sep=;
SIN;LAST NAME;FIRST NAME;GENDER;EMAIL;BIRTHDATE;ADDRESS;LANGUAGE;SALARY;MARITAL STATUS;EMPLOYEE NUMBER;HIRE DATE;INSURANCE;FAKETAG
147024426;ALLAN;GUY;M;ALLAN.GUY@hotmail.com;1968-10-02;5108 Franklin Street, Savannah GA 31405;E;21243$;maried;420579;1974-10-04;Health care - Module 2, Dental care - Module 1;fakepurplepupleteam0006
203117411;IVORY;ALEXANDER;M;IVORY.ALEXANDER@agc.ia.ca;1997-08-03;7711 North 51st Avenue, Glendale AZ 85301;F;161353$;maried;529608;2014-05-26;Health care - Module 1, Dental care - Module 3;fakepurplepupleteam0006
632083259;JESSICA;SAWYER;F;JESSICA.SAWYER@agc.ia.ca;1928-05-05;5630 Silverado Way, Anchorage AK 99518;E;114825$;divorced;756551;1978-06-28;Health care - Module 3, Dental care - Module 3;fakepurplepupleteam0006
145701553;AILEEN;BLACKBURN;F;AILEEN.BLACKBURN@agc.ia.ca;1980-04-22;31353 Santa Elena Way, Union City CA 94587;E;227458$;single;143492;2006-10-17;Health care - Module 3, Dental care - Module 2;fakepurplepupleteam0006
533500781;MOLLIE;FUENTES;F;MOLLIE.FUENTES@gmail.com;1991-11-25;6398 Jellison Way, Arvada CO 80004;E;235241$;widowed;781125;2012-08-25;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
134613876;WHITNEY;MORGAN;F;WHITNEY.MORGAN@gmail.com;1959-08-30;8404 West Myrtle Avenue, Glendale AZ 85305;E;120203$;single;909400;2021-06-08;Health care - Module 2, Dental care - Module 2;fakepurplepupleteam0006
148471741;NORRIS;TERRY;M;NORRIS.TERRY@gmail.com;1957-03-21;2276 West Woodley Square, Montgomery AL 36116;F;187585$;divorced;239129;2002-08-28;Health care - Module 2, Dental care - Module 2;fakepurplepupleteam0006
117847863;BETTE;PECK;F;BETTE.PECK@ia.ca;1963-01-27;711 Parker Street, East Longmeadow MA 01028;F;239007$;divorced;322818;2006-06-01;Health care - Module 2, Dental care - Module 3;fakepurplepupleteam0006
123407850;CARTER;DALE;M;CARTER.DALE@gmail.com;1972-11-04;415 Lullwater Drive, Panama City Beach FL 32413;E;253765$;maried;857978;1973-05-09;Health care - Module 2, Dental care - Module 2;fakepurplepupleteam0006
661087205;RUDY;MURRAY;M;RUDY.MURRAY@agc.ia.ca;1935-01-25;2034 Fairfax Road, Annapolis MD 21401;F;157988$;maried;708790;2006-03-27;Health care - Module 1, Dental care - Module 1;fakepurplepupleteam0006
